date,accx,accy,accz
12/9/2020 1:20:15.159000000 PM,0.070557,0.011963,0.99585
12/9/2020 1:20:15.171000000 PM,0.068604,0.01001,0.999512
12/9/2020 1:20:15.180000000 PM,0.069092,0.009521,0.995361
12/9/2020 1:20:15.190000000 PM,0.06958,0.011719,0.999756
12/9/2020 1:20:15.200000000 PM,0.070312,0.009033,1.000977
12/9/2020 1:20:15.206000000 PM,0.067871,0.012207,1.000732
12/9/2020 1:20:15.223000000 PM,0.072021,0.010254,1.003662
12/9/2020 1:20:15.231000000 PM,0.068604,0.009766,1.001709
12/9/2020 1:20:15.241000000 PM,0.070801,0.00708,0.99585
12/9/2020 1:20:15.254000000 PM,0.074707,0.010498,1.007324
12/9/2020 1:20:15.266000000 PM,0.068359,0.009766,1.003906
12/9/2020 1:20:15.279000000 PM,0.072754,0.009766,0.999756
12/9/2020 1:20:15.289000000 PM,0.070312,0.011963,1.007568
12/9/2020 1:20:15.299000000 PM,0.075928,0.01123,1.008057
12/9/2020 1:20:15.311000000 PM,0.075439,0.012207,1.002441
12/9/2020 1:20:15.321000000 PM,0.071533,0.01416,1.001709
12/9/2020 1:20:15.332000000 PM,0.072266,0.010254,1.007324
12/9/2020 1:20:15.342000000 PM,0.072266,0.007812,1.003662
12/9/2020 1:20:15.354000000 PM,0.068848,0.010742,1.003418
12/9/2020 1:20:15.364000000 PM,0.074463,0.010254,1.00415
12/9/2020 1:20:15.374000000 PM,0.068115,0.008057,1.000244
12/9/2020 1:20:15.384000000 PM,0.074463,0.010498,1.008057
12/9/2020 1:20:15.394000000 PM,0.072021,0.010498,1.007324
12/9/2020 1:20:15.403000000 PM,0.069336,0.011963,0.997559
12/9/2020 1:20:15.419000000 PM,0.071289,0.009766,1
12/9/2020 1:20:15.426000000 PM,0.069336,0.01001,1.001221
12/9/2020 1:20:15.443000000 PM,0.071289,0.008789,1.007324
12/9/2020 1:20:15.450000000 PM,0.069336,0.01001,0.998047
12/9/2020 1:20:15.462000000 PM,0.069824,0.015869,1.005127
12/9/2020 1:20:15.472000000 PM,0.070801,0.009521,0.995361
12/9/2020 1:20:15.489000000 PM,0.07251,0.01123,1.001709
12/9/2020 1:20:15.496000000 PM,0.068115,0.013916,1.00293
12/9/2020 1:20:15.513000000 PM,0.072266,0.009277,0.996582
12/9/2020 1:20:15.520000000 PM,0.071777,0.00708,1.004395
12/9/2020 1:20:15.526000000 PM,0.068604,0.010254,0.999756
12/9/2020 1:20:15.534000000 PM,0.070801,0.010742,0.99585
12/9/2020 1:20:15.544000000 PM,0.070312,0.010986,0.996094
12/9/2020 1:20:15.554000000 PM,0.070068,0.009521,0.99707
12/9/2020 1:20:15.565000000 PM,0.074219,0.007324,1.006592
12/9/2020 1:20:15.593000000 PM,0.072021,0.009033,1.005371
12/9/2020 1:20:15.601000000 PM,0.06958,0.00708,1.00293
12/9/2020 1:20:15.613000000 PM,0.069824,0.010254,1.006348
12/9/2020 1:20:15.625000000 PM,0.07251,0.010254,1.004395
12/9/2020 1:20:15.634000000 PM,0.070557,0.012207,1.001221
12/9/2020 1:20:15.645000000 PM,0.070312,0.012207,0.999512
12/9/2020 1:20:15.656000000 PM,0.070068,0.011963,1.00415
12/9/2020 1:20:15.668000000 PM,0.07251,0.012695,1.000244
12/9/2020 1:20:15.678000000 PM,0.069336,0.009766,1.000732
12/9/2020 1:20:15.687000000 PM,0.071045,0.009033,1.008057
12/9/2020 1:20:15.706000000 PM,0.068848,0.013428,1.009766
12/9/2020 1:20:15.714000000 PM,0.067871,0.012451,0.99707
12/9/2020 1:20:15.724000000 PM,0.068848,0.012451,1.000732
12/9/2020 1:20:15.739000000 PM,0.068115,0.010986,0.997314
12/9/2020 1:20:15.747000000 PM,0.071777,0.007568,0.995361
12/9/2020 1:20:15.759000000 PM,0.069336,0.016846,1.002197
12/9/2020 1:20:15.767000000 PM,0.069824,0.010986,1.002686
12/9/2020 1:20:15.774000000 PM,0.074463,0.01123,1.006104
12/9/2020 1:20:15.784000000 PM,0.07373,0.007812,1.000977
12/9/2020 1:20:15.794000000 PM,0.068604,0.014648,1.00293
12/9/2020 1:20:15.804000000 PM,0.069092,0.009766,1.001953
12/9/2020 1:20:15.818000000 PM,0.070801,0.009766,1.001953
12/9/2020 1:20:15.826000000 PM,0.068604,0.013672,1.003418
12/9/2020 1:20:15.853000000 PM,0.071289,0.012939,1.000977
12/9/2020 1:20:15.861000000 PM,0.072021,0.009033,1.001709
12/9/2020 1:20:15.873000000 PM,0.06958,0.009766,1.001465
12/9/2020 1:20:15.883000000 PM,0.073975,0.008545,0.999023
12/9/2020 1:20:15.898000000 PM,0.067871,0.011963,1.000977
12/9/2020 1:20:15.906000000 PM,0.067627,0.012207,0.998779
12/9/2020 1:20:15.918000000 PM,0.067871,0.009521,0.999512
12/9/2020 1:20:15.928000000 PM,0.067871,0.012207,1.003906
12/9/2020 1:20:15.944000000 PM,0.068604,0.012939,1.003174
